Restaurant Name,Cuisine Type,Address,City,Province/State,Postal/Zip Code,Phone Number,Price Range (per person),Average Rating (out of 5),Number of Reviews
Keg Steakhouse & Bar,Steakhouse,"688 Dunsmuir St, Vancouver, BC",Vancouver,British Columbia,V6B 1N3,(604) 555-0123,$5-$10,4.6,423
La Banquise,Poutine,"994 Rue Rachel E, Montreal, QC",Montreal,Quebec,H2J 2J3,(905) 555-3210,$25-$65,4.1,236
Lee Restaurant,Asian Fusion,"601 King St W, Toronto, ON",Toronto,Ontario,M5V 1M5,(506) 555-4567,$15-$35,3.7,392
Les 3 Brasseurs,French,"105 Rue Saint Paul Est, Montreal, QC",Montreal,Quebec,H2Y 1G7,(613) 555-7654,$20-$40,4.9,391
Little Sheep Mongolian Hot Pot,Chinese,"5300 No 3 Rd #405, Richmond, BC",Richmond,British Columbia,V6X 2X9,(902) 555-8888,$10-$30,4.4,129
L'Original,Poutine,"4760 Rue Sainte-Catherine E, Montreal, QC",Montreal,Quebec,H1V 1Z5,(604) 555-9876,$30-$50,4.6,415
Miku,Japanese,"70-200 Granville St, Vancouver, BC",Vancouver,British Columbia,V6C 1S4,(902) 555-6789,$20-$30,4.0,214
Bistro 1060,French,1060 Yonge,Toronto,Ontario,M4T 2Z6,(905)-555-1234,$5-$10,1.5,155
The Keg,Steakhouse,4th Ave SW,Calgary,Alberta,T2P 0M5,647-555-6789,$30-$60,2.6,176
La Taqueria Pinche Taco Shop,Mexican,2450 Yukon St,Vancouver,British Columbia,V6A 2W5,416-555-9876,$15-25,4.3,369
Sushi Kaji,Japanese,860 The Queensway,Etobicoke,Ontario,M9C 1A3,604-555-4321,$30-50,2.3,295
Joe Beef,French,2491 Rue Notre Dame O,Montreal,Quebec,H2T 2S3,403-555-8765,$5-15,4.5,324
Vij's,Indian,3106 Cambie St,Vancouver,British Columbia,V6H 2J2,514-555-2345,$10-$20,4.0,484
Canoe,Canadian,66 Wellington St W,Toronto,Ontario,M5J 2N6,613-555-7890,$40-$60,4.2,355
Hawksworth Restaurant,Canadian,801 West Georgia St,Vancouver,British Columbia,V6B 2G3,902-555-3210,$10-$20,3.5,319
Black Hoof,Charcuterie,928 Dundas St W,Toronto,Ontario,M6J 1W8,519-555-6543,$20-$30,4.3,132
Little Sheep Mongolian Hot Pot,Mongolian,1788 W Broadway #201,Vancouver,British Columbia,V6B 6A8,306-555-2109,$5-$10,4.6,203
L'Express,French,3927 Rue Saint Denis,Montreal,Quebec,H2X 2S8,450-555-3456,$30-$50,4.8,187
Miku,Japanese,10 Bay St #105,Toronto,Ontario,M5V 3M5,778-555-9876,$15-$25,4.4,163
Tres Carnales Taqueria,Mexican,10119 100A St NW,Edmonton,Alberta,T5J 0H7,587-555-1234,$40-$60,4.1,290
The Coup,Vegetarian,924 17 Ave SW,Calgary,Alberta,T2T 0A5,867-555-6789,$20-$30,4.7,219
Lee,Asian Fusion,601 King St W,Toronto,Ontario,M5V 2V4,250-555-4321,$10-$20,4.5,167
Au Pied de Cochon,French,536 Avenue Duluth E,Montreal,Quebec,H2S 2S3,902-555-8765,$40-$60,4.0,314
Vij's Rangoli,Indian,1488 W 11th Ave,Vancouver,British Columbia,V6H 3G8,418-555-2345,$10-$20,4.2,327
Pure Spirits Oyster House & Grill,Seafood,17 Tank House Ln,Toronto,Ontario,M5A 1K3,902-555-7890,$20-$30,3.5,371
Bymark,Canadian,66 Wellington St W,Toronto,Ontario,M5J 2H7,604-555-3210,$5-$10,4.3,387
The Fish Counter,Seafood,3825 Main St,Vancouver,British Columbia,V5T 1H2,819-555-6543,$30-$50,4.6,300
Wildflower Grill,Canadian,10009 107 St NW,Edmonton,Alberta,T5K 1B1,306-555-2109,$15-$25,4.8,382
Bar Raval,Spanish,505 College St,Toronto,Ontario,M6J 2Z7,902-555-3456,$40-$60,4.4,147
Milestones,Canadian,90 115 9 Ave SE,Calgary,Alberta,T2H 0K8,416-555-9876,$20-$30,4.1,298
Oyster Boy,Seafood,872 Queen St W,Toronto,Ontario,M6J 1W8,902-555-1234,$10-$20,4.7,214
Rino's Kitchen & Ale House,Italian,131 Elliott St W,Windsor,Ontario,N9A 5Y9,613-555-6789,$20-$30,4.2,273
F&B Walkerville,Canadian,1086 Wyandotte St E,Windsor,Ontario,N9A 3K1,450-555-4321,$30-$50,4.3,262
Mazaar Lebanese Cuisine,Middle Eastern,372 Ouellette Ave,Windsor,Ontario,N9A 1A6,418-555-8765,$20-$40,4.5,359
The Grand Cantina,Mexican,646 Victoria Ave,Windsor,Ontario,N9A 4N1,587-555-2345,$10-$30,2.5,258
Green Bean Cafe,Cafe,2320 Wyandotte St W,Windsor,Ontario,N9B 1K3,403-555-7890,$20-$30,5.0,342
Armando's Pizza,Italian,326 CAlbertaana Rd E,Windsor,Ontario,N9G 1A3,705-555-3210,$5-$10,3.5,417
Bubi's Awesome Eats,American,585 Ouellette Ave,Windsor,Ontario,N9A 4J4,819-555-6543,$25-$65,4.6,424
Chanoso's Restaurant,Chinese,255 Ouellette Ave,Windsor,Ontario,N9A 4H9,902-555-2109,$15-$35,4.1,141
The Carvery,Canadian,119 Chatham St E,Windsor,Ontario,N9A 2W1,250-555-3456,$20-$40,3.7,470
Sarducci's Pizzeria,Italian,435 Tecumseh Rd E,Windsor,Ontario,N8X 2R5,905-555-9876,$10-$30,4.9,232
The Twisted Apron,Canadian,1833 Wyandotte St E,Windsor,Ontario,N8Y 1E4,819-555-1234,$30-$50,4.4,329
Pho Maxim,Vietnamese,794 Lauzon Rd,Windsor,Ontario,N8S 3M8,587-555-6789,$20-$30,4.6,296
Motor Burger,American,888 Erie St E,Windsor,Ontario,N9A 3Y6,613-555-4321,$5-$10,4.0,218
The G.O.A.T Tap & Eatery,Canadian,1461 Ottawa St,Windsor,Ontario,N8X 2G1,902-555-8765,$30-$60,1.5,315
El - Mayor,Mexican,1549 Tecumseh Rd E,Windsor,Ontario,N8W 1C5,514-555-2345,$15-25,2.6,304
Sushi California,Japanese,1585 Wyandotte St E,Windsor,Ontario,N9A 3L2,778-555-7890,$30-50,4.3,109
Spago Trattoria E Pizzeria,Italian,690 Erie St E,Windsor,Ontario,N9A 3Y9,306-555-3210,$5-15,2.3,451
Nola's Restaurant,Cajun,779 Ouellette Ave,Windsor,Ontario,N9A 4J4,902-555-6543,$10-$20,4.5,231
The Squirrel Cage,Canadian,1280 Walker Rd,Windsor,Ontario,N8Y 4T4,450-555-2109,$40-$60,4.0,310
Chanoso's Restaurant,Japanese,255 Ouellette Ave,Windsor,Ontario,N9A 4H9,418-555-3456,$10-$20,4.2,454
The City Grill,Canadian,375 Ouellette Ave,Windsor,Ontario,N9A 4J1,705-555-9876,$20-$30,3.5,197
Foia Ristorante,Italian,1614 Lesperance Rd,Windsor,Ontario,N8N 1Y2,867-555-1234,$5-$10,4.3,498
Mamo Burger Bar,American,1515 Ottawa St,Windsor,Ontario,N8X 2G4,902-555-6789,$30-$50,4.6,201
Villa Rosa,Italian,600 Erie St E,Windsor,Ontario,N9A 3X3,587-555-4321,$15-$25,4.8,154
Taka Japanese Restaurant,Japanese,2575 Ouellette Ave,Windsor,Ontario,N8X 1L6,613-555-8765,$40-$60,4.4,395
Windsor Palace Restaurant,Chinese,3203 Woodland Ave,Windsor,Ontario,N8W 3Z1,250-555-2345,$20-$30,4.1,280
Mezzo Ristorante & Lounge,Italian,804 Erie St E,Windsor,Ontario,N9A 3Y4,902-555-7890,$10-$20,4.7,418
The Loose Goose RestoPub,Canadian,126 Ouellette Pl,Windsor,Ontario,N8X 1L9,819-555-3210,$20-$30,4.5,478
The Manchester,Pub,546 Ouellette Ave,Windsor,Ontario,N9A 1B3,306-555-6543,$10-$15,4.0,233
Pomegranate Restaurant,Middle Eastern,375 Pelissier St,Windsor,Ontario,N9A 4K8,418-555-2109,$11-$19,4.2,184
The Church Key Bistro Pub,Canadian,476 Richmond St,London,Ontario,N6A 3E6,604-555-3456,$12-$20,3.5,455
David's Bistro,French,432 Richmond St,London,Ontario,N6A 3C9,450-555-9876,$40-$60,4.3,157
Albertaruzzi Ristorante,Italian,119 King St,London,Ontario,N6A 1C3,902-555-1234,$10-$20,4.6,494
Garlic's Of London,Canadian,481 Richmond St,London,Ontario,N6A 3E4,705-555-6789,$20-$30,4.8,196
Blu Duby,Canadian,125 King St,London,Ontario,N6A 1C3,819-555-4321,$5-$10,4.4,251
The Morrissey House,Canadian,361 Dundas St,London,Ontario,N6B 1V5,587-555-8765,$30-$50,4.1,327
Fellini Koolini's,Italian,155 Albert St,London,Ontario,N6A 1L9,514-555-2345,$15-$25,4.7,131
Bertoldi's Trattoria,Italian,650 Richmond St,London,Ontario,N6A 3G6,250-555-7890,$40-$60,4.2,276
Michaels On The Thames,Canadian,1 York St,London,Ontario,N6A 1A1,306-555-3210,$20-$30,4.3,365
Thaifoon,Thai,120 Dundas St,London,Ontario,N6A 1E8,902-555-6543,$10-$20,4.5,187
The Tasting Room,Canadian,483 Richmond St,London,Ontario,N6A 3E4,403-555-2109,$20-$30,2.5,188
Garlic's Of London,Canadian,175 King St,London,Ontario,N6A 1C9,418-555-3456,$30-$50,5.0,405
Black Trumpet,Canadian,523 Richmond St,London,Ontario,N6A 3E8,613-555-9876,$20-$40,3.5,118
Zen Gardens,Chinese,344 Dundas St,London,Ontario,N6B 1V7,250-555-1234,$10-$30,4.6,277
The Bungalow,Canadian,599 York St,London,Ontario,N6B 1R6,450-555-6789,$20-$30,4.1,438
Blu Duby North,Canadian,1680 Richmond St,London,Ontario,N6G 3Y9,819-555-4321,$5-$10,3.7,329
Demetre's Family Eatery,Canadian,19 Springbank Ave N,London,Ontario,N6J 1G6,902-555-8765,$25-$65,4.9,443
Thaifoon,Thai,120 Dundas St,London,Ontario,N6A 1E8,705-555-2345,$15-$35,4.4,287
Nava,Indian,460 Richmond St,London,Ontario,N6A 1C1,867-555-7890,$20-$40,4.6,174
London Curry House,Indian,433 King St,London,Ontario,N6B 1S5,514-555-3210,$10-$30,4.0,183
Olive R. Twists,Canadian,130 King St,London,Ontario,N6A 1C5,587-555-6543,$30-$50,1.5,368
Qdoba,Mexican,1680 Richmond St,London,Ontario,N6G 3Y9,403-555-6985,$20-$30,2.6,243
Paparella's Italian Restaurant,Italian,622 Dundas St,London,Ontario,N5W 2Z1,416-555-5678,$5-$10,4.3,489
Tamarine By Quynh Nhi,Vietnamese,550 Wellington Rd,London,Ontario,N6C 4R3,613-555-2345,$30-$60,2.3,240
Manchuria Garden,Chinese,425 Richmond St,London,Ontario,N6A 3C4,450-555-6789,$15-25,4.5,217
Winks Eatery,Canadian,551 Richmond St,London,Ontario,N6A 3E9,902-555-4321,$30-50,4.0,207
Locomotive Espresso,Cafe,408 Pall Mall St,London,Ontario,N5Y 2Z6,306-555-8765,$5-15,4.2,315
The Early Bird,Canadian,355 Talbot St,London,Ontario,N6A 2R5,778-555-2109,$10-$20,3.5,178
Mongolian Grill,Mongolian,645 Wellington Rd,London,Ontario,N6C 4R4,250-555-3456,$40-$60,4.3,178
Amaya Express,Indian,1205 Western Rd,London,Ontario,N6G 1G5,902-555-9876,$10-$20,4.6,299
The River Room,Canadian,19 King St,London,Ontario,N6A 1C2,514-555-1234,$20-$30,4.8,401
Gusto Food,Canadian,131 Talbot St,London,Ontario,N6A 2C5,587-555-6789,$5-$10,4.4,372
Plant Matter Kitchen,Vegan,162 Wortley Rd,London,Ontario,N6C 3P7,613-555-4321,$30-$50,4.1,307
Fauna,Canadian,425 Bank St,Ottawa,Ontario,K2P 1Y7,902-555-8765,$15-$25,4.7,389
El Camino,Mexican,380 Elgin St,Ottawa,Ontario,K2P 1M9,416-555-2345,$40-$60,4.5,423
Pure Kitchen,Vegan,357 Richmond Rd,Ottawa,Ontario,K2A 0E7,819-555-7890,$20-$30,4.0,236
Sansotei Ramen,Japanese,153 Bank St,Ottawa,Ontario,K1P 5N7,450-555-3210,$10-$20,4.2,392
Riviera,French,62 Sparks St,Ottawa,Ontario,K1P 5A5,514-555-6543,$20-$30,3.5,391
Datsun,Asian Fusion,380 Elgin St,Ottawa,Ontario,K2P 1N1,867-555-2109,$10-$15,4.3,129
Beckta Dining & Wine,Canadian,150 Elgin St,Ottawa,Ontario,K2P 1L4,250-555-3456,$11-$19,4.6,415
Whalesbone Oyster House,Seafood,430 Bank St,Ottawa,Ontario,K2P 1Y8,902-555-9876,$12-$20,4.8,214
Play Food & Wine,Canadian,1 York St,Ottawa,Ontario,K1N 5S7,613-555-1234,$40-$60,4.4,155
The Shore Club,Seafood,11 Colonel By Dr,Ottawa,Ontario,K1N 9H4,587-555-6789,$10-$20,4.1,176
Supply and Demand,Italian,1335 Wellington St W,Ottawa,Ontario,K1Y 3B7,819-555-4321,$20-$30,4.7,369
The Wellington Diner,Canadian,1385 Wellington St W,Ottawa,Ontario,K1Y 2X1,450-555-8765,$5-$10,4.2,295
Fraser Cafe,Canadian,7 Springfield Rd,Ottawa,Ontario,K1M 1C8,418-555-2345,$30-$50,4.3,324
Sidedoor Contemporary Kitchen & Bar,Asian Fusion,18 York St,Ottawa,Ontario,K1N 5T5,902-555-7890,$15-$25,4.5,484
Gezellig,Canadian,337 Richmond Rd,Ottawa,Ontario,K2A 0E7,613-555-3210,$40-$60,2.5,355
MēNa,Canadian,276 Preston St,Ottawa,Ontario,K1R 7R5,250-555-6543,$20-$30,5.0,319
El Furniture Warehouse,Pub Food,77 Clarence St,Ottawa,Ontario,K1N 5P5,705-555-2109,$10-$20,3.5,132
North & Navy,Italian,226 Nepean St,Ottawa,Ontario,K2P 0B8,450-555-3456,$20-$30,4.6,203
Art-Is-In Bakery,Bakery,250 City Centre Ave,Ottawa,Ontario,K1R 6K7,514-555-9876,$30-$50,4.1,187
Ahora,Mexican,307 Dalhousie St,Ottawa,Ontario,K1N 7E8,902-555-1234,$20-$40,3.7,163
La Bottega Nicastro,Italian,64 George St,Ottawa,Ontario,K1N 5V9,587-555-6789,$10-$30,4.9,290
Corner Peach,Canadian,802 Bank St,Ottawa,Ontario,K1S 3V8,306-555-4321,$20-$30,4.4,219
Town,Canadian,296 Elgin St,Ottawa,Ontario,K2P 1M3,418-555-8765,$5-$10,4.6,167
Beckta Bakery,Bakery,226 Nepean St,Ottawa,Ontario,K2P 0B8,819-555-2345,$25-$65,4.0,314
Town,Canadian,296 Elgin St,Ottawa,Ontario,K2P 1M3,250-555-7890,$15-$35,1.5,327
Zak's Diner,Diner,14 ByWard Market Square,Ottawa,Ontario,K1N 7A1,450-555-3210,$20-$40,2.6,371
La Cabaña,Latin American,848 Merivale Rd,Ottawa,Ontario,K1Z 5Z4,902-555-6543,$10-$30,4.3,387
Corazon de Maiz,Mexican,55 ByWard Market Square,Ottawa,Ontario,K1N 9C3,514-555-2109,$30-$50,2.3,300
Irene's Pub Restaurant,Canadian,885 Bank St,Ottawa,Ontario,K1S 3W4,613-555-3456,$20-$30,4.5,382
Chez Lucien,Pub Food,137 Murray St,Ottawa,Ontario,K1N 5M7,587-555-9876,$5-$10,4.0,147
The Hintonburg Public House,Canadian,1020 Wellington St W,Ottawa,Ontario,K1Y 2X9,705-555-1234,$30-$60,4.2,298
El Furniture Warehouse,Pub Food,77 Clarence St,Ottawa,Ontario,K1N 5P5,819-555-6789,$15-25,3.5,214
SuzyQ Doughnuts,Comfort Food.,969 Wellington St W,Ottawa,Ontario,K1Y 2X8,250-555-4321,$30-50,4.3,273
Cilantro,Mexican,338 17 Ave SW,Calgary,Alberta,T2S 0A5,418-555-8765,$5-15,4.6,262
The Himalayan,Nepalese,3218 17 Ave SW,Calgary,Alberta,T3E 0B4,613-555-2345,$10-$20,4.8,359
The Nash,Canadian,925 11 St SE,Calgary,Alberta,T2G 3E5,902-555-7890,$40-$60,4.4,258
Una Pizza + Wine,Pizza,618 17 Ave SW,Calgary,Alberta,T2S 0B4,450-555-3210,$10-$20,4.1,342
Foreign Concept,Asian Fusion,1011 1 St SW,Calgary,Alberta,T2R 1J2,587-555-6543,$20-$30,4.7,417
OEB Breakfast Co,Breakfast,824 Edmonton Trail NE,Calgary,Alberta,T2E 3J6,306-555-2109,$5-$10,4.5,424
Bridgette Bar,Canadian,739 10 Ave SW,Calgary,Alberta,T2R 0B2,819-555-3456,$30-$50,4.0,141
Modern Steak,Steakhouse,107 10A St NW,Calgary,Alberta,T2N 4M7,514-555-9876,$15-$25,4.2,470
Model Milk,Canadian,308 17 Ave SW,Calgary,Alberta,T2S 0A3,250-555-1234,$40-$60,3.5,232
Charbar,Argentinian,618 Confluence Way SE,Calgary,Alberta,T2G 0G1,902-555-6789,$20-$30,4.3,329
Ten Foot Henry,Vegetarian,1209 1 St SW,Calgary,Alberta,T2R 0V3,613-555-4321,$10-$20,4.6,296
Anju,Korean,344 17 Ave SW,Calgary,Alberta,T2S 0A5,450-555-8765,$20-$30,4.8,218
Klein / Harris,Canadian,110 8 Ave SW,Calgary,Alberta,T2P 1B3,418-555-2345,$10-$15,4.4,315
Shokunin,Japanese,2016 4 St SW,Calgary,Alberta,T2S 1W3,587-555-7890,$11-$19,4.1,304
Pigeonhole,Canadian,306 17 Ave SW,Calgary,Alberta,T2S 0A5,819-555-3210,$12-$20,4.7,109
Cibo,Italian,1012 17 Ave SW,Calgary,Alberta,T2T 0A5,902-555-6543,$40-$60,4.2,451
Una Pizza + Wine,Pizza,618 17 Ave SW,Calgary,Alberta,T2S 0B4,705-555-2109,$10-$20,4.3,231
Alloy,Canadian,220 42 Ave SE,Calgary,Alberta,T2G 1Y4,306-555-3456,$20-$30,4.5,310
Cannibale,Cocktail Bar,813 1 Ave NE,Calgary,Alberta,T2E 0C2,514-555-1234,$5-$10,2.5,454
Native Tongues Taqueria,Mexican,235 12 Ave SW,Calgary,Alberta,T2R 1H7,250-555-6789,$30-$50,5.0,197
The Beltliner,Canadian,243 12 Ave SW,Calgary,Alberta,T2R 0G5,902-555-4321,$15-$25,3.5,498
Anju,Korean,344 17 Ave SW,Calgary,Alberta,T2S 0A5,587-555-8765,$40-$60,4.6,201
Sky 360,Canadian,101 9 Ave SW,Calgary,Alberta,T2P 1J9,450-555-2109,$20-$30,4.1,154
Salt & Pepper Mexican Restaurant,Mexican,1413 9 Ave SE,Calgary,Alberta,T2G 0T4,819-555-3456,$10-$20,3.7,395
Vin Room Mission,Tapas,2310 4 St SW,Calgary,Alberta,T2S 1X2,613-555-9876,$20-$30,4.9,280
Pampa Brazilian Steakhouse,Brazilian,521 10 Ave SW,Calgary,Alberta,T2R 0A8,250-555-1234,$30-$50,4.4,418
Black Pig Bistro,Canadian,825 1 Ave NE,Calgary,Alberta,T2E 0C2,902-555-6789,$20-$40,4.6,478
Vero Bistro Moderne,French,209 10 St NW,Calgary,Alberta,T2N 1V5,418-555-4321,$10-$30,4.0,233
Hayden Block Smoke & Whiskey,Barbecue,1136 Kensington Rd NW,Calgary,Alberta,T2N 3P3,587-555-8765,$20-$30,1.5,184
Suzette Bistro,French,2210 4 St SW,Calgary,Alberta,T2S 1W9,450-555-2109,$5-$10,2.6,455
Redwater Rustic Grille,Comfort Food.,9223 MacLeod Trail SE,Calgary,Alberta,T2J 0P6,819-555-6543,$25-$65,4.3,157
The Bruce Craft House,Canadian,700 Hespeler Rd,Cambridge,Ontario,N3H 5L8,647-555-7890,$15-$35,2.3,494
The Black Badger,Canadian,55 Water St N,Cambridge,Ontario,N1R 7L6,902-555-3456,$20-$40,4.5,196
The Galt Club,Canadian,35 Dickson St,Cambridge,Ontario,N1R 1T6,306-555-8765,$10-$30,4.0,251
Kiwi Gastropub,Canadian,47 Dickson St,Cambridge,Ontario,N1R 7A6,450-555-2345,$30-$50,4.2,327
Grand Trunk Saloon,Canadian,30 Ontario St S,Cambridge,Ontario,N1R 1K1,819-555-4321,$20-$30,3.5,131
Cafe 13 Main Street,Cafe,13 Main St,Cambridge,Ontario,N1R 1V6,613-555-2109,$5-$10,4.3,276
St. Louis Bar & Grill,Bar and Grill,980 Franklin Blvd,Cambridge,Ontario,N1R 8R3,250-555-6543,$30-$60,4.6,365
Sagano Sushi,Japanese,525 Saginaw Pkwy,Cambridge,Ontario,N1T 1S6,418-555-9876,$15-25,4.8,187
La Hacienda Sarria,Mexican,1254 Union St,Cambridge,Ontario,N1R 7A5,902-555-1234,$30-50,4.4,188
Boston Pizza,Pizza,14 Pinebush Rd,Cambridge,Ontario,N1R 8K5,587-555-6789,$5-15,4.1,405
Ennio's Pasta House,Italian,698 King St E,Cambridge,Ontario,N3H 3N6,819-555-3456,$10-$20,4.7,118
The Mill Road Butcher,Butcher Shop,17 Mill Rd,Cambridge,Ontario,N3H 4R7,514-555-2109,$40-$60,4.5,277
Sizzle Shawarma and Grill,Middle Eastern,525 Saginaw Pkwy,Cambridge,Ontario,N1T 1S6,902-555-8765,$10-$20,4.0,438
The Keg Steakhouse + Bar,Steakhouse,44 Pinebush Rd,Cambridge,Ontario,N1R 8K5,705-555-2345,$20-$30,4.2,329
Boston Pizza,Pizza,14 Pinebush Rd,Cambridge,Ontario,N1R 8K5,587-555-7890,$5-$10,3.5,443
Bella's Pizza,Pizza,3 Water St S,Cambridge,Ontario,N1R 3C4,250-555-3210,$30-$50,4.3,287
